,root,model,Season_RA,D,Season_Period,AR,Season_MA,MA,Season_D,test_aic,test_bic,test_rmse,train_bic,train_aic,train_hqic,test_hqic,train_rmse
110,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_1_Season_Period_0_AR_6_Season_MA_5_Season_D_0_MA_4,5,1,0,6,5,4,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
111,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_0_Season_Period_2_AR_0_Season_MA_0_Season_D_1_MA_2,3,0,2,0,0,2,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
112,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_1_Season_Period_6_AR_3_Season_MA_4_Season_D_0_MA_2,6,1,6,3,4,2,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
113,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_1_Season_Period_12_AR_6_Season_MA_5_Season_D_0_MA_5,6,1,12,6,5,5,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
114,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_0_Season_Period_2_AR_2_Season_MA_2_Season_D_0_MA_3,3,0,2,2,2,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
115,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_1_Season_Period_0_AR_5_Season_MA_4_Season_D_0_MA_5,6,1,0,5,4,5,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
116,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_1_Season_Period_0_AR_3_Season_MA_2_Season_D_1_MA_5,6,1,0,3,2,5,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
117,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_1_Season_Period_0_AR_2_Season_MA_5_Season_D_0_MA_2,6,1,0,2,5,2,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
118,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_0_Season_Period_0_AR_4_Season_MA_5_Season_D_1_MA_0,6,0,0,4,5,0,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
119,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_1_Season_Period_0_AR_1_Season_MA_1_Season_D_1_MA_0,6,1,0,1,1,0,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
120,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_0_Season_Period_6_AR_5_Season_MA_2_Season_D_0_MA_5,6,0,6,5,2,5,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
121,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_0_Season_Period_6_AR_5_Season_MA_4_Season_D_1_MA_6,3,0,6,5,4,6,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
